ANZSCO_Code,ANZSCO_Title,Core_Competencies,Score,Proficiency_level,Anchor_value
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Numeracy,3,Basic,Count the amount of change to be given to a customer
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Teamwork,5,Intermediate,"Recognise and avoid behaviours, like unkind gossip, that undermine effective group interaction"
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Writing,5,Intermediate,Prepare a standard operating procedures document
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
7112,Industrial Spraypainters,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
7112,Industrial Spraypainters,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
7112,Industrial Spraypainters,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
7112,Industrial Spraypainters,Writing,4,Intermediate,Write a job history as part of a job application
7112,Industrial Spraypainters,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
7112,Industrial Spraypainters,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7112,Industrial Spraypainters,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
7112,Industrial Spraypainters,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
7112,Industrial Spraypainters,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
7112,Industrial Spraypainters,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
7113,Paper and Wood Processing Machine Operators,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
7113,Paper and Wood Processing Machine Operators,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
7113,Paper and Wood Processing Machine Operators,Teamwork,6,Intermediate,Initiate team problem solving sessions
7113,Paper and Wood Processing Machine Operators,Writing,3,Basic,Take a telephone message
7113,Paper and Wood Processing Machine Operators,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
7113,Paper and Wood Processing Machine Operators,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7113,Paper and Wood Processing Machine Operators,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
7113,Paper and Wood Processing Machine Operators,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
7113,Paper and Wood Processing Machine Operators,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
7113,Paper and Wood Processing Machine Operators,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
7114,Photographic Developers and Printers,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
7114,Photographic Developers and Printers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
7114,Photographic Developers and Printers,Teamwork,6,Intermediate,Initiate team problem solving sessions
7114,Photographic Developers and Printers,Writing,5,Intermediate,Prepare a standard operating procedures document
7114,Photographic Developers and Printers,Reading,6,Intermediate,Read a memo from management describing new personnel policies
7114,Photographic Developers and Printers,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
7114,Photographic Developers and Printers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
7114,Photographic Developers and Printers,Oral communication,6,Intermediate,Give instructions to a lost driver
7114,Photographic Developers and Printers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
7114,Photographic Developers and Printers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
7115,Plastics and Rubber Production Machine Operators,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
7115,Plastics and Rubber Production Machine Operators,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
7115,Plastics and Rubber Production Machine Operators,Teamwork,5,Intermediate,"Recognise and avoid behaviours, like unkind gossip, that undermine effective group interaction"
7115,Plastics and Rubber Production Machine Operators,Writing,5,Intermediate,Prepare a standard operating procedures document
7115,Plastics and Rubber Production Machine Operators,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
7115,Plastics and Rubber Production Machine Operators,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7115,Plastics and Rubber Production Machine Operators,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
7115,Plastics and Rubber Production Machine Operators,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
7115,Plastics and Rubber Production Machine Operators,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
7115,Plastics and Rubber Production Machine Operators,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
7116,Sewing Machinists,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
7116,Sewing Machinists,Digital engagement,3,Basic,Enter information into a database
7116,Sewing Machinists,Teamwork,5,Intermediate,"Recognise and avoid behaviours, like unkind gossip, that undermine effective group interaction"
7116,Sewing Machinists,Writing,4,Intermediate,Write a job history as part of a job application
7116,Sewing Machinists,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
7116,Sewing Machinists,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7116,Sewing Machinists,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
7116,Sewing Machinists,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
7116,Sewing Machinists,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
7116,Sewing Machinists,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
7117,Textile and Footwear Production Machine Operators,Numeracy,2,Basic,Check the weight and length of a product against a job ticket
7117,Textile and Footwear Production Machine Operators,Digital engagement,2,Basic,Send a short and simple reply to an email communication using a digital device
7117,Textile and Footwear Production Machine Operators,Teamwork,6,Intermediate,Initiate team problem solving sessions
7117,Textile and Footwear Production Machine Operators,Writing,4,Intermediate,Write a job history as part of a job application
7117,Textile and Footwear Production Machine Operators,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
7117,Textile and Footwear Production Machine Operators,Learning,3,Basic,Think about the implications of a newspaper article for job opportunities
7117,Textile and Footwear Production Machine Operators,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
7117,Textile and Footwear Production Machine Operators,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
7117,Textile and Footwear Production Machine Operators,Planning and organising,4,Intermediate,Schedule time for updating a manager on the progress of work 
7117,Textile and Footwear Production Machine Operators,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
7121,"Crane, Hoist and Lift Operators",Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
7121,"Crane, Hoist and Lift Operators",Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
7121,"Crane, Hoist and Lift Operators",Teamwork,6,Intermediate,Initiate team problem solving sessions
7121,"Crane, Hoist and Lift Operators",Writing,4,Intermediate,Write a job history as part of a job application
7121,"Crane, Hoist and Lift Operators",Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
7121,"Crane, Hoist and Lift Operators",Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7121,"Crane, Hoist and Lift Operators",Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
7121,"Crane, Hoist and Lift Operators",Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
7121,"Crane, Hoist and Lift Operators",Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
7121,"Crane, Hoist and Lift Operators",Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
7123,Engineering Production Workers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
7123,Engineering Production Workers,Digital engagement,3,Basic,Enter information into a database
7123,Engineering Production Workers,Teamwork,5,Intermediate,"Recognise and avoid behaviours, like unkind gossip, that undermine effective group interaction"
7123,Engineering Production Workers,Writing,5,Intermediate,Prepare a standard operating procedures document
7123,Engineering Production Workers,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
7123,Engineering Production Workers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7123,Engineering Production Workers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
7123,Engineering Production Workers,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
7123,Engineering Production Workers,Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
7123,Engineering Production Workers,Initiative and innovation,5,Intermediate,Confer with co-workers to coordinate work activities
7213,Forklift Drivers,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
7213,Forklift Drivers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
7213,Forklift Drivers,Teamwork,6,Intermediate,Initiate team problem solving sessions
7213,Forklift Drivers,Writing,4,Intermediate,Write a job history as part of a job application
7213,Forklift Drivers,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
7213,Forklift Drivers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7213,Forklift Drivers,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
7213,Forklift Drivers,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
7213,Forklift Drivers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
7213,Forklift Drivers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
7311,Automobile Drivers,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
7311,Automobile Drivers,Digital engagement,3,Basic,Enter information into a database
7311,Automobile Drivers,Teamwork,5,Intermediate,"Recognise and avoid behaviours, like unkind gossip, that undermine effective group interaction"
7311,Automobile Drivers,Writing,4,Intermediate,Write a job history as part of a job application
7311,Automobile Drivers,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
7311,Automobile Drivers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7311,Automobile Drivers,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
7311,Automobile Drivers,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
7311,Automobile Drivers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
7311,Automobile Drivers,Initiative and innovation,5,Intermediate,Confer with co-workers to coordinate work activities
7312,Bus and Coach Drivers,Numeracy,3,Basic,Count the amount of change to be given to a customer
7312,Bus and Coach Drivers,Digital engagement,3,Basic,Enter information into a database
7312,Bus and Coach Drivers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
7312,Bus and Coach Drivers,Writing,4,Intermediate,Write a job history as part of a job application
7312,Bus and Coach Drivers,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
7312,Bus and Coach Drivers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7312,Bus and Coach Drivers,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
7312,Bus and Coach Drivers,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
7312,Bus and Coach Drivers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
7312,Bus and Coach Drivers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
7321,Delivery Drivers,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
7321,Delivery Drivers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
7321,Delivery Drivers,Teamwork,6,Intermediate,Initiate team problem solving sessions
7321,Delivery Drivers,Writing,5,Intermediate,Prepare a standard operating procedures document
7321,Delivery Drivers,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
7321,Delivery Drivers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7321,Delivery Drivers,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
7321,Delivery Drivers,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
7321,Delivery Drivers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
7321,Delivery Drivers,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
7331,Truck Drivers,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
7331,Truck Drivers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
7331,Truck Drivers,Teamwork,5,Intermediate,"Recognise and avoid behaviours, like unkind gossip, that undermine effective group interaction"
7331,Truck Drivers,Writing,5,Intermediate,Prepare a standard operating procedures document
7331,Truck Drivers,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
7331,Truck Drivers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7331,Truck Drivers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
7331,Truck Drivers,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
7331,Truck Drivers,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
7331,Truck Drivers,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
7411,Storepersons,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
7411,Storepersons,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
7411,Storepersons,Teamwork,6,Intermediate,Initiate team problem solving sessions
7411,Storepersons,Writing,4,Intermediate,Write a job history as part of a job application
7411,Storepersons,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
7411,Storepersons,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
7411,Storepersons,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
7411,Storepersons,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
7411,Storepersons,Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
7411,Storepersons,Initiative and innovation,5,Intermediate,Confer with co-workers to coordinate work activities
8111,Car Detailers,Numeracy,2,Basic,Check the weight and length of a product against a job ticket
8111,Car Detailers,Digital engagement,2,Basic,Send a short and simple reply to an email communication using a digital device
8111,Car Detailers,Teamwork,6,Intermediate,Initiate team problem solving sessions
8111,Car Detailers,Writing,2,Basic,Write everyday workplace specific vocabulary and abbreviations (e.g. product names)
8111,Car Detailers,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
8111,Car Detailers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
8111,Car Detailers,Problem solving,3,Basic,Lay out tools to complete a job
8111,Car Detailers,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
8111,Car Detailers,Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
8111,Car Detailers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
8112,Commercial Cleaners,Numeracy,1,Basic,Identify the numerical position of items on a shelf from left to right
8112,Commercial Cleaners,Digital engagement,3,Basic,Enter information into a database
8112,Commercial Cleaners,Teamwork,6,Intermediate,Initiate team problem solving sessions
8112,Commercial Cleaners,Writing,3,Basic,Take a telephone message
8112,Commercial Cleaners,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
8112,Commercial Cleaners,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
8112,Commercial Cleaners,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
8112,Commercial Cleaners,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
8112,Commercial Cleaners,Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
8112,Commercial Cleaners,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
8113,Domestic Cleaners,Numeracy,3,Basic,Count the amount of change to be given to a customer
8113,Domestic Cleaners,Digital engagement,3,Basic,Enter information into a database
8113,Domestic Cleaners,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
8113,Domestic Cleaners,Writing,3,Basic,Take a telephone message
8113,Domestic Cleaners,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
8113,Domestic Cleaners,Learning,3,Basic,Think about the implications of a newspaper article for job opportunities
8113,Domestic Cleaners,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
8113,Domestic Cleaners,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
8113,Domestic Cleaners,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
8113,Domestic Cleaners,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
8114,Housekeepers,Numeracy,3,Basic,Count the amount of change to be given to a customer
8114,Housekeepers,Digital engagement,3,Basic,Enter information into a database
8114,Housekeepers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
8114,Housekeepers,Writing,3,Basic,Take a telephone message
8114,Housekeepers,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
8114,Housekeepers,Learning,3,Basic,Think about the implications of a newspaper article for job opportunities
8114,Housekeepers,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
8114,Housekeepers,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
8114,Housekeepers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
8114,Housekeepers,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
8115,Laundry Workers,Numeracy,2,Basic,Check the weight and length of a product against a job ticket
8115,Laundry Workers,Digital engagement,3,Basic,Enter information into a database
8115,Laundry Workers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
8115,Laundry Workers,Writing,4,Intermediate,Write a job history as part of a job application
8115,Laundry Workers,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
8115,Laundry Workers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
8115,Laundry Workers,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
8115,Laundry Workers,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
8115,Laundry Workers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
8115,Laundry Workers,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
8212,Concreters,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
8212,Concreters,Digital engagement,2,Basic,Send a short and simple reply to an email communication using a digital device
8212,Concreters,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
8212,Concreters,Writing,3,Basic,Take a telephone message
8212,Concreters,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
8212,Concreters,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
8212,Concreters,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
8212,Concreters,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
8212,Concreters,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
8212,Concreters,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
8213,Fencers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
8213,Fencers,Digital engagement,2,Basic,Send a short and simple reply to an email communication using a digital device
8213,Fencers,Teamwork,5,Intermediate,"Recognise and avoid behaviours, like unkind gossip, that undermine effective group interaction"
8213,Fencers,Writing,4,Intermediate,Write a job history as part of a job application
8213,Fencers,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
8213,Fencers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
8213,Fencers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
8213,Fencers,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
8213,Fencers,Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
8213,Fencers,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
8215,Paving and Surfacing Labourers,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
8215,Paving and Surfacing Labourers,Digital engagement,2,Basic,Send a short and simple reply to an email communication using a digital device
8215,Paving and Surfacing Labourers,Teamwork,6,Intermediate,Initiate team problem solving sessions
8215,Paving and Surfacing Labourers,Writing,5,Intermediate,Prepare a standard operating procedures document
8215,Paving and Surfacing Labourers,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
8215,Paving and Surfacing Labourers,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
8215,Paving and Surfacing Labourers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
8215,Paving and Surfacing Labourers,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
8215,Paving and Surfacing Labourers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
8215,Paving and Surfacing Labourers,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
8216,Railway Track Workers,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
8216,Railway Track Workers,Digital engagement,3,Basic,Enter information into a database
8216,Railway Track Workers,Teamwork,6,Intermediate,Initiate team problem solving sessions
8216,Railway Track Workers,Writing,4,Intermediate,Write a job history as part of a job application
8216,Railway Track Workers,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
8216,Railway Track Workers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
8216,Railway Track Workers,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
8216,Railway Track Workers,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
8216,Railway Track Workers,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
8216,Railway Track Workers,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
8311,Food and Drink Factory Workers,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
8311,Food and Drink Factory Workers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
8311,Food and Drink Factory Workers,Teamwork,6,Intermediate,Initiate team problem solving sessions
8311,Food and Drink Factory Workers,Writing,5,Intermediate,Prepare a standard operating procedures document
8311,Food and Drink Factory Workers,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
8311,Food and Drink Factory Workers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
8311,Food and Drink Factory Workers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
8311,Food and Drink Factory Workers,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
8311,Food and Drink Factory Workers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
8311,Food and Drink Factory Workers,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
8313,"Meat, Poultry and Seafood Process Workers",Numeracy,2,Basic,Check the weight and length of a product against a job ticket
8313,"Meat, Poultry and Seafood Process Workers",Digital engagement,2,Basic,Send a short and simple reply to an email communication using a digital device
8313,"Meat, Poultry and Seafood Process Workers",Teamwork,6,Intermediate,Initiate team problem solving sessions
8313,"Meat, Poultry and Seafood Process Workers",Writing,2,Basic,Write everyday workplace specific vocabulary and abbreviations (e.g. product names)
8313,"Meat, Poultry and Seafood Process Workers",Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
8313,"Meat, Poultry and Seafood Process Workers",Learning,3,Basic,Think about the implications of a newspaper article for job opportunities
8313,"Meat, Poultry and Seafood Process Workers",Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
8313,"Meat, Poultry and Seafood Process Workers",Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
8313,"Meat, Poultry and Seafood Process Workers",Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
8313,"Meat, Poultry and Seafood Process Workers",Initiative and innovation,7,Intermediate,Coordinate sales campaigns
8321,Packers,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
8321,Packers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
8321,Packers,Teamwork,5,Intermediate,"Recognise and avoid behaviours, like unkind gossip, that undermine effective group interaction"
8321,Packers,Writing,4,Intermediate,Write a job history as part of a job application
8321,Packers,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
8321,Packers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
8321,Packers,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
8321,Packers,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
8321,Packers,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
8321,Packers,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
8322,Product Assemblers,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
8322,Product Assemblers,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
8322,Product Assemblers,Teamwork,6,Intermediate,Initiate team problem solving sessions
8322,Product Assemblers,Writing,5,Intermediate,Prepare a standard operating procedures document
8322,Product Assemblers,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
8322,Product Assemblers,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
8322,Product Assemblers,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
8322,Product Assemblers,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
8322,Product Assemblers,Planning and organising,7,Intermediate,"Write a research report that presents recommendations after developing a project methodology, planning the research and developing a timeline"
8322,Product Assemblers,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
8399,Other Factory Process Workers,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
8399,Other Factory Process Workers,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
8399,Other Factory Process Workers,Teamwork,6,Intermediate,Initiate team problem solving sessions
8399,Other Factory Process Workers,Writing,3,Basic,Take a telephone message
8399,Other Factory Process Workers,Reading,4,Intermediate,Read directions on how to operate a piece of machinery safely
8399,Other Factory Process Workers,Learning,4,Intermediate,Learn how to operate new machinery safely and efficiently
8399,Other Factory Process Workers,Problem solving,4,Intermediate,Break a complex problem into manageable parts and follow a plan of action
8399,Other Factory Process Workers,Oral communication,4,Intermediate,"Give clear, sequenced instructions on how to use a hand-held drill"
8399,Other Factory Process Workers,Planning and organising,5,Intermediate,Use an organisational file sharing and storage system
8399,Other Factory Process Workers,Initiative and innovation,5,Intermediate,Confer with co-workers to coordinate work activities
8412,Crop Farm Workers,Numeracy,2,Basic,Check the weight and length of a product against a job ticket
8412,Crop Farm Workers,Digital engagement,2,Basic,Send a short and simple reply to an email communication using a digital device
