umap_x,umap_y,job_title,job_description,source
1.1941314,7.6327033,Fencers,Fencers erect and repair fences and gates.,government
2.1428268,9.288566,Paving and Surfacing Labourers,"Paving and Surfacing Labourers perform routine tasks associated in laying bituminous and other paving materials on roads, runways, parking areas and other surfaces to be paved.",government
1.686261,6.9342446,Railway Track Workers,"Railway Track Workers lay and repair tracks for railways, tramways, quarries and mines, and install and repair signals and other equipment.",government
3.5276701,4.897347,Food and Drink Factory Workers,Food and Drink Factory Workers perform routine tasks in manufacturing food and beverages.,government
-0.09181789,7.7760687,"Meat, Poultry and Seafood Process Workers","Meat, Poultry and Seafood Process Workers slaughter and eviscerate poultry, and process, grade and package meat, poultry, fish and shellfish.",government
-0.030030534,7.7720876,Packers,"Packers weigh, wrap, seal and label chocolate, fruit, vegetables, meat, seafood and other products.",government
0.074398726,7.4112234,Product Assemblers,"Product Assemblers put together components and subassemblies that go into the production of metal products, electrical and electronic equipment, jewellery and precious metal articles, and joinery products.",government
1.8838078,8.967987,Factory Process Workers,"Factory Process Workers can work in Cement and Concrete Plants, Chemical Plant s, Clay Processing Factories, Fabric and Textile Factories, Footwear Factories, Glass Processing or Hide and Skin Processing.",government
2.658282,10.031283,Crop Farm Workers,"Crop Farm Workers perform routine tasks in producing crops such as fruit, nuts, grains and vegetables.",government
3.080948,9.637774,Garden and Nursery Labourers,"Garden and Nursery Labourers perform a variety of routine tasks in propagating, cultivating and maintaining plants in gardens and horticultural nurseries.",government
2.7834883,9.92382,Livestock Farm Workers,"Livestock Farm Workers perform routine tasks in livestock, egg and wool production.",government
2.7386065,9.992327,Mixed Crop and Livestock Farm Workers,Mixed Crop and Livestock Farm Workers perform routine tasks in crop cultivation and animal production.,government
3.598504,4.8773685,Fast Food Cooks,Fast Food Cooks prepare foods in fast food establishments.,government
3.4341586,4.998055,Food Trades Assistants,"Food Trades Assistants assist Food Trades Workers by performing routine food preparation, cleaning and storage tasks.",government
3.576525,5.018516,Kitchenhands,"Kitchenhands assist kitchen and service staff in preparing and serving food, and clean food preparation and service areas.",government
1.2847323,7.784693,Freight and Furniture Handlers,"Freight and Furniture Handlers load and unload trucks, containers and rail cars, and transfer cargo between ships and other forms of transport and storage facilities.",government
3.6017575,8.012445,Shelf Fillers,Shelf Fillers fill up shelves and display areas in stores and supermarkets.,government
3.7422333,8.128989,Caretakers,"Caretakers maintain and clean residential buildings, schools, offices, holiday camps and caravan parks.",government
1.4614774,8.47695,Handypersons,"Handypersons clean, paint, repair and maintain buildings, grounds and facilities.",government
0.7616189,7.3436007,Motor Vehicle Parts and Accessories Fitters,Motor Vehicle Parts and Accessories Fitters fit and replace parts and accessories on motor vehicles.,government
3.0625355,8.0859785,Recycling and Rubbish Collectors,"Recycling and Rubbish Collectors collect household, commercial and industrial waste for recycling and disposal.",government
0.3763607,8.260998,Vending Machine Attendants,Vending Machine Attendants stock and maintain vending and amusement machines and collect money from coin boxes.,government
4.5451794,5.9782295,Sales and Marketing Manager,"Sales and Marketing Managers plan, organise, direct, control and coordinate advertising, public relations, sales and marketing activities within organisations. ",government
4.5837784,6.3182445,Advertising Manager,Advertising Managers plans and direct the advertising activities within an organisation.,government
4.605935,6.4806795,Public Relations Manager,Public Relations Managers plan and direct the public relations activities within an organisation.,government
4.5356774,7.2882943,Production Manager in Manufacturing,Production Managers in Manufacturing plan and direct the manufacturing activities of an organisation including physical and human resources.,government
2.5862713,8.635295,Production Manager in Mining,Production Managers in Mining plan and direct the production activities of a mining operation including physical and human resources.,government
6.6019797,6.5821433,Faculty Head,"Faculty Heads plan and direct the educational and administrative aspects of a department, faculty or school within a university or other tertiary education institution.",government
4.6706147,6.564465,Chief Information Officer,"Chief Information Officers plan and direct the ICT strategies, plans and operations of an organisation to ensure the ICT infrastructure supports the organisation's overall operations and priorities.",government
4.8330746,7.2658763,Environmental Manager,"Environmental Managers plan and direct the development and implementation of an environmental management system within an organisation by identifying, solving and alleviating environmental issues, such as pollution and waste treatment, in compliance with environmental legislation and to ensure corporate sustainable development.",government
5.063016,9.262217,Laboratory Manager,Plans and direct the operations of a research or production laboratory.,government
4.041659,6.308512,Quality Assurance Manager,Plans and direct the deployment of quality systems and certification processes within an organisation.,government
1.5343567,7.8387537,Hair or Beauty Salon Manager,Organises and controls the operations of a hairdressing or beauty salon. Registration or licensing may be required.,government
4.0800614,8.008598,Post Office Manager,Organises and controls the operations of a post office.,government
5.2833247,6.0193253,Call or Contact Centre Manager,Organises and controls the operations of a call or contact centre.,government
4.719755,5.72978,Customer Service Manager,"Plans, administers and reviews customer services and after-sales services, and maintains sound customer relations.",government
1.2939605,7.7009997,Fleet Manager,Organises and controls the buying and selling of vehicles for rental agencies and coordinates the leasing of vehicles. Registration or licensing may be required.,government
1.6843021,7.4394236,Transport Company Manager,Organises and controls the operations of an enterprise that operates a fleet of vehicles to transport goods and passengers. Registration or licensing may be required.,government
4.269861,7.9936323,Facilities Manager,"Organises, controls and coordinates the strategic and operational management of buildings and facilities in public and private organisations to ensure the proper and efficient operation of all physical aspects of a facility, to create and sustain safe and productive environments for occupants.",government
4.297239,6.7866464,Financial Institution Branch Manager,"Organises and controls the general operational activities of a branch of a bank, building society or credit union.",government
1.0684853,4.657379,Actor,"Entertains by portraying roles in film, television, radio and stage productions. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience.",government
0.9514188,4.6207356,Dancer or Choreographer,"Entertains by performing dances, or creates dance compositions. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience.",government
0.9327988,4.6464286,Entertainer or Variety Artist,"Entertains by performing a variety of acts using a mix of acting, singing, dance and movement skills. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience.",government
1.0123986,4.613379,Composer,"Writes new and rearranges existing musical compositions such as songs, operas, symphonies, musical scores and advertising jingles. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience.",government
1.0001746,4.598914,Musician,"Entertains by playing one or more musical instruments. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience.",government
0.96528,4.599505,Singer,"Entertains by singing songs. This occupation requires high levels of creative talent or personal commitment and interest as well as, or in place of, formal qualifications or experience.",government
1.8904799,4.803575,Artistic Director,"Determines and oversees implementation of artistic policies for a performing arts organisation such as a theatre company, dance company, music ensemble, festival or venue.",government
1.7829804,5.0007377,Media Producer,"Plans, administers and reviews activities concerned with publishing, or the production of films, television or radio programs, theatre, music, festivals or other artistic activities.",government
1.6595701,5.33646,Radio Presenter,"Prepares and presents news, sports or other information, conducts interviews, and introduces music, performances and special events on radio.",government
2.7200284,5.283364,Author,Produces literary or other written work for publication or performance.,government
1.9171454,5.129145,Book or Script Editor,"Evaluates manuscripts of books or scripts to determine suitability for publication or production, and edits and supervises material in preparation for publication or for production on film, television, radio or stage.",government
1.7023854,5.121451,Film and Video Editor,"Makes and implements editorial decisions regarding mood, pace and climax of films, television programs, video productions or commercials.",government
2.9876194,5.73064,Copywriter,Designs and composes written material to advertise products and services.,government
2.7473795,5.773411,Technical Writer,"Researches and writes technical information-based material and documentation for articles, manuals, text books, handbooks, or multimedia products, usually for education or corporate purposes.",government
3.7535164,6.5016046,Accountant  ,"Provides services relating to compliance-based financial reporting, auditing, insolvency and accounting information systems; and advises on associated record-keeping requirements. Registration or licensing may be required for certain services such as auditing.",government
3.916138,6.6186337,Management Accountant,"Provides services relating to performance-based financial reporting, asset valuation, budgetary systems, cost management, pricing, forecasting and the strategic governance of organisations. Provides advice on financial planning, risk management, carbon sequestration projects and carbon pricing and provides management with reports to assist in decision-making. May provide insight into cost performance and support the implementation of benchmarking and quality improvement initiatives. Registration or licensing may be required.",government
4.1132755,6.864408,Taxation Accountant,"Analyses, reports and provides advice on taxation issues to organisations or individuals, prepares taxation returns and reports, and handles disputes with taxation authorities. Registration or licensing may be required.",government
4.0738015,6.467431,Corporate Treasurer,"Manages corporate funding, liquidity and financial risk associated with the profitable development and operation of an organisation. May be involved in acquisitions, disposals and joint ventures. Registration or licensing may be required.",government
3.6473882,6.543569,External Auditor,"Designs and operates information and reporting systems, procedures and controls to meet external financial reporting requirements. Registration or licensing is required.",government
3.8325515,6.5879965,Internal Auditor,"Examines, verifies, evaluates and reports on financial, operational and managerial processes, systems and outcomes to ensure financial and operational integrity and compliance, and assists in business process reviews, risk assessments, developing deliverables and reporting progress against outcomes. Registration or licensing may be required.",government
4.519392,5.5936637,Commodities Trader,"Operates as an independent agent to bring together buyers and sellers of commodities, negotiates private sales and arranges sales through established market places.",government
4.02733,6.289264,Financial Investment Adviser,"Develops and implements financial plans for individuals or organisations, and advises on investment strategies and their taxation implications, securities, insurance, pension plans and real estate. Registration or licensing may be required.",government
4.050346,6.3883758,Financial Investment Manager,"Invests and manages sums of money and assets on behalf of others over an agreed period of time, in order to generate income and profit. Registration or licensing may be required.",government
5.1632123,7.01526,Human Resource Adviser,Provides staffing and personnel administration services in support of an organisation's human resource policies and programs.,government
3.7631705,5.9697537,Recruitment Consultant,"Interviews applicants to determine their job requirements and suitability for particular jobs, and assists employers to find suitable staff.",government
4.825101,6.5292325,Workplace Relations Adviser,"Assists in resolving disputes by advising on workplace relations policies and problems, and representing industrial, commercial, union, employer or other parties in negotiations on rates of pay and conditions of employment.",government
4.159501,6.748983,Actuary,"Analyses mathematical, statistical, demographic, financial or economic data to predict and assess the long-term risk involved in financial decisions and planning. Registration or licensing is required.",government
3.5680614,8.38077,Mathematician,"Develops and applies mathematical principles and techniques to solve problems in all areas of the sciences, engineering, technology, social sciences, business, industry and commerce.",government
4.141885,7.0528345,Statistician,"Designs and applies statistical principles and techniques for collecting, organising and interpreting quantifiable data, and uses statistical methodologies to produce statistical reports and analyses for government, commercial and other purposes.",government
3.2144349,6.9160085,Archivist,"Analyses and documents records, and plans and organises systems and procedures for the safekeeping of records and historically valuable documents.",government
4.760905,8.217124,Gallery or Museum Curator,Plans and organises a gallery or museum collection by drafting collection policies and arranging acquisitions of pieces.,government
5.4746284,7.665617,Health Information Manager,"Plans, develops, implements and manages health information services, such as patient information systems, and clinical and administrative data, to meet the medical, legal, ethical and administrative requirements of health care delivery.",government
3.4344807,6.9459386,Records Manager,"Designs, implements and administers record systems and related information services, to support efficient access, movement, updating, storage, retention and disposal of files and other organisational records.",government
4.8792267,6.7632217,Intelligence Officer,"Collects and analyses information and data to produce intelligence for an organisation to support planning, operations and human resource functions.",government
4.7155337,7.1347985,Policy Analyst,"Develops and analyses policies guiding the design, implementation and modification of government or commercial operations and programs.",government
3.3789458,8.436771,Valuer,"Assesses the value of land, property, commercial equipment, merchandise, personal effects, household goods and objects of art. Registration or licensing may be required.",government
4.626866,7.5380926,Management Consultant,Assists organisations to achieve greater efficiency and solve organisational problems.,government
4.7283463,7.598083,Organisation and Methods Analyst,"Assists organisations to achieve greater efficiency and solve organisational problems, and study organisational structures, methods, systems and procedures. ",government
6.092755,7.7740383,Liaison Officer,"Establishes and facilitates communication between different community groups, organisations and governments.",government
4.690667,6.208451,Market Research Analyst,"Determines the market for new goods and services, develops advertising strategies, and evaluates the best business sites for commercial organisations.",government
4.5951056,6.1869283,Marketing Specialist,"Identifies market opportunities and advises on the development, coordination and implementation of plans for pricing and promoting an organisation's goods and services.",government
2.0032954,7.407491,Aeroplane Pilot,"Flies aeroplanes to transport passengers, mail and freight, or provide agricultural, aerial surveillance or other aviation services. Registration or licensing is required.",government
2.179369,7.638737,Air Traffic Controller,Ensures the safe and efficient movement of aircraft in controlled airspace and aerodromes by directing aircraft movements. Registration or licensing is required.,government
1.603697,7.976848,Ship's Master,Controls and manages the operations of a ship or boat. Registration or licensing is required.,government
1.9899304,8.18646,Ship's Officer,Navigates and controls the safe operation of a ship and supervises and coordinates the activities of deck crew. Registration or licensing is required.,government
1.5136708,8.46821,Architect,"Plans and designs buildings, provides concepts, plans, specifications and detailed drawings, negotiates with builders and advises on the procurement of buildings. Registration or licensing is required.",government
3.4838915,8.247378,Landscape Architect,"Plans and designs land areas for projects such as open space networks, parks, schools, institutions, roads, external areas for all building types, land subdivisions, and commercial, industrial and residential sites.",government
0.6840585,6.8977113,Fashion Designer,"Plans, designs and develops clothing, accessories, footwear or other items of personal apparel considering the form and construction of clothing, historical styles and contexts, contemporary and cultural trends, colour, fabric, and decoration, and the techniques and processes available for manufacture.",government
3.0187128,5.931233,Industrial Designer,"Plans, designs, develops and documents industrial, commercial or consumer products for manufacture with particular emphasis on ergonomic factors, marketing considerations and manufacturability, and prepares designs and specifications of products for mass or batch production.",government
2.6401901,5.7274966,Graphic Designer,"Plans, designs, develops and prepares information for publication and reproduction using text, symbols, pictures, colours and layout to achieve commercial and communication needs with particular emphasis on tailoring the message for the intended audience.",government
2.6272693,5.774066,Illustrator,"Plans, designs, develops, and prepares pictures and diagrams to communicate messages, clarify meaning, assist in presentations and illustrate stories, using traditional and digital media such as drawing, painting, drafting, collage, models, photography, and image capture and manipulation software.",government
2.5811424,5.6641593,Multimedia Designer,"Plans, designs and develops the production of digitally delivered information, promotional content, instructional material and entertainment through online and recorded digital media using static and animated information, text, pictures, video and sound to produce information and entertainment.",government
2.8281677,5.8428926,Web Designer,"Plans, designs, develops and prepares information for Internet publication with particular emphasis on the user interface, ease of navigation and location of information using text, pictures, animation, sound, colours, layout and data sources to deliver information tailored to an intended audience and purpose.",government
2.5367823,9.060946,Chemical Engineer,"Designs and prepares specifications for chemical process systems and the construction and operation of commercial-scale chemical plants, and supervises industrial processing and fabrication of products undergoing physical and chemical changes. Registration or licensing may be required.",government
2.9843478,8.315972,Materials Engineer,"Investigates the properties of metals, ceramics, polymers and other materials and assesses and develops their engineering and commercial applications. Registration or licensing may be required.",government
2.53106,8.474066,Civil Engineer,"Plans, designs, organises and oversees the construction and operation of dams, bridges, pipelines, gas and water supply schemes, sewerage systems, airports and other civil engineering projects. Registration or licensing may be required.",government
2.6524475,8.766538,Geotechnical Engineer,"Plans, directs and conducts survey work to analyse the likely behaviour of soil and rock when placed under pressure by proposed structures, and designs above and below ground foundations. Registration or licensing may be required.",government
1.7380207,8.967179,Quantity Surveyor,"Estimates and monitors construction costs from the project feasibility stage, through tender preparation, to the construction period and beyond. Registration or licensing is required.",government
1.4369466,8.890578,Structural Engineer,"Analyses the properties of all types of structures, tests the behaviour and durability of materials used in their construction, and designs and supervises the construction of all types of structures. Registration or licensing may be required.",government
1.9017391,7.391524,Transport Engineer,Plans and develops transport systems to improve infrastructure efficiency and the cost effectiveness of moving people and freight. Registration or licensing may be required.,government
3.01934,7.9417863,Industrial Engineer,"Investigates and reviews the use of personnel, facilities, equipment and materials, current operational processes and established practices, to recommend improvement in the efficiency of operations in a variety of commercial, industrial and production environments. Registration or licensing may be required.",government
2.0695534,8.090313,Mechanical Engineer,"Plans, designs, organises and oversees the assembly, erection, operation and maintenance of mechanical and process plant and installations. Registration or licensing may be required.",government
2.2562206,8.394287,Production or Plant Engineer,"Plans and coordinates the design, construction, modification, continued performance and maintenance of equipment and machines in industrial plants, and the management and planning of manufacturing activities. Registration or licensing may be required.",government
2.5779085,8.560257,Mining Engineer ,Plans and directs the engineering aspects of locating and extracting minerals from the earth. Registration or licensing may be required.,government
2.5323162,8.568516,Petroleum Engineer,Plans and directs the engineering aspects of locating and extracting petroleum or natural gas from the earth. Registration or licensing may be required.,government
2.2438972,8.038804,Aeronautical Engineer,"Performs and supervises engineering work concerned with the design, development, manufacture, maintenance and modification of aircraft for flight. Registration or licensing may be required.",government
3.2252793,8.525778,Biomedical Engineer,"Applies knowledge and methodology of physics, engineering, mathematics, computing, physical chemistry and materials science to problems in biology and the treatment and prevention of human disease. Registration or licensing may be required.",government
2.697625,8.163155,Engineering Technologist,Analyses and modifies new and existing engineering technologies and applies them in the testing and implementation of engineering projects. Registration or licensing may be required.,government
2.9329133,8.600809,Environmental Engineer,"Assesses the impact on air, water, soil and noise levels in the vicinity of engineering projects, plans and designs equipment and processes for the treatment and safe disposal of waste material, and assesses what may cause problems for the environment in the long-term. Registration or licensing is required.",government
1.497114,8.860219,Naval Architect,Designs and oversees the construction and repair of marine craft and floating structures. Registration or licensing may be required.,government
2.684864,9.084159,Chemist,"Studies the chemical and physical properties of substances, and develops and monitors chemical processes and production.",government
3.549171,4.9576387,Food Technologist,"Develops new and improves existing food products, and sets standards for producing, packaging and marketing food.",government
2.045907,8.433619,Wine Maker,"Plans, supervises and coordinates the production of wine or spirits from selected varieties of grapes.",government
5.237986,7.1434636,Conservation Officer,"Develops and implements programs and regulations for the protection of fish, wildlife and other natural resources.",government
4.676459,7.2683573,Environmental Consultant,"Analyses and advises on policies guiding the design, implementation and modification of government or commercial environmental operations and programs.",government
4.164572,8.818476,Environmental Research Scientist,Studies and develops policies and plans for the control of factors which may produce pollution or cause degradation of the environment.,government
3.5200226,8.244397,Park Ranger,"Assists in controlling a State or national park, scenic area, historic site, nature reserve, recreation area or conservation reserve in accordance with authorised policies and priorities.",government
4.3057747,9.171729,Life Scientist  ,"Studies the origin, anatomy, physiology, reproduction and behaviour of living organisms and the ways in which they interact with the environment in which they live.",government
4.247157,9.217498,Biochemist,Studies the biochemistry and molecular structure of living organisms.,government
4.2155585,9.233252,Biotechnologist,"Studies the anatomy, physiology and characteristics of living organisms and isolated biological molecules, and develops new materials for applying to a range of purposes.",government
4.0572453,9.291074,Botanist,"Studies the anatomy, physiology, biochemistry and ecology of plants.",government
4.2753534,9.177595,Microbiologist,"Studies microscopic forms of life such as bacteria, viruses and protozoa.",government
4.1958723,9.181095,Zoologist,"Studies the anatomy, physiology, characteristics, ecology, behaviour and environments of animals.",government
4.69305,8.230022,Conservator,"Plans and organises the conservation of materials and objects in libraries, archives, museums and art galleries.",government
0.08008309,7.3886266,Metallurgist,"Researches, develops, controls and provides advice on processes used in extracting metals from their ores, and processes used for casting, alloying, heat treating or welding refined metals, alloys and other materials to produce commercial metal products or develop new alloys and processes. Registration or licensing may be required.",government
3.57646,8.833689,Meteorologist,"Studies the physics and dynamics of the atmosphere to increase understanding of weather and climate, and to forecast changes in the weather and long-term climatic trends.",government
4.78068,7.791351,Physicist,"Studies matter, space, time, energy, forces and fields and the interrelationship between these physical phenomena to further understanding of the laws governing the behaviour of the universe, and seeks to apply these laws to solve practical problems and discover new information about the earth and the universe.",government
6.654099,6.413476,University Lecturer,Lectures students and conducts tutorials in one or more subjects within a prescribed course of study at a university and conducts research in a particular field of knowledge. Registration or licensing may be required.,government
6.633962,6.3406167,University Tutor,Conducts tutorials in one or more subjects within a prescribed course of study at a university. Registration or licensing may be required.,government
6.9405,6.228922,Dance Teacher ,"Teaches students in the practice, theory and performance of dance.",government
7.0107746,6.219547,Music Teacher ,"Teaches students in the practice, theory and performance of music.",government
5.9359093,9.574804,Medical Diagnostic Radiographer,Operates X-ray and other medical imaging equipment to produce images for medical diagnostic purposes in conjunction with Diagnostic and Interventional Radiologists or other Medical Practitioners. Registration or licensing is required.,government
5.8063374,9.613383,Medical Radiation Therapist,Operates high energy X-ray and other radiation and electron generating and monitoring equipment to administer radiation treatment for medical purposes in conjunction with Radiation Oncologists or other specialist Medical Practitioners. Registration or licensing is required.,government
5.928987,9.575643,Nuclear Medicine Technologist,"Performs or assists in performing diagnostic examinations using radionuclides and radiopharmaceuticals, and administers radionuclides and radiopharmaceuticals for therapeutic purposes under the direction of specialist Medical Practitioners. Registration or licensing is required.",government
5.809775,9.624245,Sonographer,"Operates ultrasound equipment to acquire, interpret and selectively record anatomical images, physical data and real-time physiological information for medical diagnostic purposes in conjunction with Medical Practitioners.",government
5.5959206,7.7788363,Environmental Health Officer,"Develops, enforces and evaluates environmental health policies, programs and strategies to improve health outcomes, and oversees the implementation and monitoring of environmental health legislation. Registration or licensing may be required.",government
5.560712,7.668242,Occupational Health and Safety Adviser,"Develops, implements and evaluates risk management policies and programs, trains employees in occupational health and safety procedures, monitors and audits the workplace, and records and investigates incidents to ensure safe and healthy working conditions.",government
6.0285187,9.309608,Optometrist,"Performs eye examinations and vision tests to determine the presence of visual, ocular and other abnormalities, ocular diseases and systemic diseases with ocular manifestations, and prescribes lenses, other optical aids, therapy and medication to correct and manage vision problems and eye diseases. Registration or licensing is required.",government
6.2583504,9.287921,Orthoptist,Diagnoses and manages eye movement disorders and associated sensory deficiencies. Registration or licensing may be required.,government
5.26492,5.4800224,Hospital Pharmacist,"Prepares and dispenses pharmaceuticals, drugs and medicines in a hospital pharmacy. Registration or licensing is required.",government
5.04148,5.383045,Retail Pharmacist,"Dispenses prescribed pharmaceuticals to the public, educates customers on health promotion, disease prevention and the proper use of medicines, and sells non-prescription medicines and related goods in a community pharmacy. Registration or licensing is required.",government
6.200318,7.7954836,Health Promotion Officer,"Assists health and community groups to improve the health of individuals and the community by raising awareness of healthy lifestyles, disease and disability, and other health-related issues.",government
5.433656,8.828678,Orthotist or Prosthetist,"Designs, builds, fits and repairs splints, braces, callipers, artificial limbs and related appliances to restore function or compensate for muscular and skeletal disabilities. Registration or licensing may be required.",government
6.297867,9.137096,Acupuncturist,Treats disorders and illnesses by stimulating the body's defence mechanisms through inserting fine needles into the skin. Registration or licensing may be required.,government
6.322131,8.770035,Naturopath,"Treats internal health problems, metabolic disorders and imbalances through treatment of the whole person using natural therapies. Registration or licensing may be required.",government
5.942109,9.411533,Audiologist,Provides diagnostic assessment and rehabilitative services related to human hearing defects. Registration or licensing is required.,government
6.050056,9.370977,Speech Pathologist,"Provides diagnostic assessment and management of disorders of communication and swallowing through direct intervention, education, consultancy, advocacy, or a combination of these approaches.",government
6.515828,9.14287,General Practitioner,"Diagnoses, treats and prevents human physical and mental disorders and injuries. Registration or licensing is required.",government
6.180798,9.384707,Resident Medical Officer,"Diagnoses, treats and prevents human physical and mental disorders and injuries under the supervision of medical specialists or senior general practitioners. Registration or licensing is required.",government
6.9296193,8.546816,Intensive Care Specialist,"Investigates, diagnoses and treats patients in need of intensive and critical care. Registration or licensing is required.",government
6.4857197,9.167862,Neurologist,"Investigates, diagnoses and treats diseases and injuries of the human brain, spinal cord, nervous system and muscle tissue. Registration or licensing is required.",government
6.378082,9.068977,Paediatrician,"Investigates, diagnoses and treats internal diseases and disorders in children from birth up to, and including, adolescence. Registration or licensing is required.",government
6.566064,9.19342,Thoracic Medicine Specialist,"Investigates, diagnoses and treats diseases and disorders of the human respiratory system. Registration or licensing is required.",government
6.052656,9.456934,Dermatologist,"Provides diagnostic, treatment and preventative medical services related to disorders of the human skin. Registration or licensing is required.",government
6.1787357,9.402264,Emergency Medicine Specialist,"Provides diagnostic medical services, and manages patients with acute and urgent illness and injury. Registration or licensing is required.",government
6.1048503,9.444726,Obstetrician and Gynaecologist,"Provides diagnostic, treatment and preventative medical and surgical services related to the care of women, foetuses and children during pregnancy and childbirth, and to disorders of the female genital, urinary, rectal and reproductive organs. Registration or licensing is required.",government
6.092062,9.454951,Ophthalmologist,"Provides diagnostic, treatment and preventative medical services related to diseases, injuries and deficiencies of the human eye and associated structures. Registration or licensing is required.",government
5.837374,8.784675,Pathologist,"Identifies the cause and processes of disease and illness by examining changes in body tissue and in blood and other body fluids, and conducts tests on samples of tissues, blood and body secretions. Registration or licensing is required.",government
5.993697,9.580565,Diagnostic and Interventional Radiologist,"Provides diagnostic and treatment medical services, and monitors patients with various diseases utilising imaging techniques such as general radiography, angiography, fluoroscopy, mammography, ultrasound, computed tomography, magnetic resonance imaging, nuclear medicine and bone densitometry. Registration or licensing is required.",government
5.683875,7.1226463,Nurse Educator,"Designs, plans, implements and evaluates the delivery of nursing education and staff development programs, and manages educational resources.",government
5.585481,6.976513,Nurse Researcher,"Designs, conducts and evaluates nursing and interdisciplinary research projects, and promotes the implementation of research findings into clinical nursing practice.",government
6.4943037,8.293062,Nurse Practitioner,"Provides advanced and extended nursing care to patients, such as ordering diagnostic tests, undertaking diagnosis and health assessments, prescribing patient care management, medicines and therapies, and referring to specialist Medical Practitioners and other Health Professionals in a range of health, welfare and community settings. Registration or licensing is required.",government
7.062203,8.281227,Registered Nurse (Critical Care and Emergency),"Provides nursing care to critically ill patients and patients with unstable health following injury, surgery or during the acute phase of diseases, integrating new technological equipment into care in settings such as high dependency units, intensive care units, emergency departments or retrieval services. Registration or licensing is required.",government
6.7065425,8.13092,Registered Nurse (Mental Health),"Provides nursing care to patients with mental health illness, disorder and dysfunction, and those experiencing emotional difficulties, distress and crisis in health, welfare and aged care facilities, correctional services and the community. Registration or licensing is required.",government
6.8580327,8.32625,Registered Nurse (Surgical),Provides nursing care to patients with injuries and illness that require surgical intervention. Registration or licensing is required.,government
2.6372015,5.8079066,Multimedia Specialist,"Creates and manipulates computer animation, audio, video and graphic image files into multimedia programs to produce data and content for CD-ROMs, information kiosks, multimedia presentations, websites, mobile telephone resources, electronic gaming environments, e-commerce and e-security solutions, and entertainment and education products.",government
2.748904,6.2656775,Web Developer,"Plans, produces and maintains websites using web programming languages, software applications, technologies and databases together with specifications of user needs, often in conjunction with other ICT Professionals such as Business Analysts, Web Designers and network and usability specialists.",government
2.9167724,6.522096,Analyst Programmer,"Analyses user needs, produces requirements documentation and system plans, and encodes, tests, debugs, maintains and documents programs and applications.",government
2.6171718,6.230254,Developer Programmer,"Interprets specifications, technical designs and flow charts, builds, maintains and modifies the code for software applications, constructs technical specifications from a business functional model, and tests and writes technical documentation.",government
2.655694,6.496671,Software Engineer,"Designs, develops, modifies, documents, tests, implements, installs and supports software applications and systems.",government
2.7079365,6.38252,Software Tester,"Specifies, develops and writes test plans and test scripts, produces test cases, carries out regression testing, and uses automated test software applications to test the behaviour, functionality and integrity of  computer software, and documents the results of tests in defect reports and related documentation.",government
3.079379,6.756492,Database Administrator,"Plans, develops, configures, maintains and supports an organisation's database management system in accordance with user requirements ensuring optimal database integrity, security, backup, reliability and performance.",government
3.4892733,6.289569,ICT Security Specialist,"Establishes, manages and administers an organisation's ICT security policy and procedures to ensure preventive and recovery strategies are in place, and minimise the risk of internal and external security threats.",government
2.7095823,6.7212696,Systems Administrator,"Plans, develops, installs, troubleshoots, maintains and supports an operating system and associated server hardware, software and databases ensuring optimum system integrity, security, backup and performance.",government
2.648515,6.67065,Computer Network and Systems Engineer,"Plans, develops, deploys, tests and optimises network and system services, taking responsibility for configuration management and overall operational readiness of network systems, especially environments with multiple operating systems and configurations, and provides troubleshooting and fault-finding services for network problems.",government
2.8890994,6.655919,Network Administrator,"Installs and maintains hardware and software, documents diagnosis and resolution of faults, manages user passwords, security and inventory documentation, ensures the efficient performance of servers, printers and personal computers, and attends to other operational tasks. May also perform tasks such as help desk support and user training.",government
2.7159379,6.6384625,Network Analyst,"Researches and analyses network architecture, and recommends policies and strategies for designing, planning and coordinating an organisation's network such as the total system environment and architecture. May also perform operational tasks such as monitoring system performance, software and hardware upgrades, backups, support and network maintenance.",government
3.382521,6.2003555,ICT Quality Assurance Engineer,"Creates, maintains and manages technical quality assurance processes and procedures to assess efficiency, validity, value and functional performance of computer systems and environments, and audits systems to ensure compliance with quality standards and regulations. May supervise the work of ICT quality assurance teams.",government
2.8937054,6.7210264,ICT Support Engineer,"Develops support procedures and strategies for systems, networks, operating systems and applications development, solves problems and provides technical expertise and direction in support of system infrastructure and process improvements, and diagnoses and resolves complex system problems.",government
2.6676762,6.5439205,ICT Systems Test Engineer,"Specifies, develops and writes test plans and test scripts, produces test cases, carries out regression testing, and uses automated test software applications to test the behaviour, functionality and integrity of systems, and documents the results of tests in defect reports and related documentation.",government
6.066834,7.20136,Careers Counsellor,Provides individuals and groups with information about career choices and assists individuals with self-development.,government
5.571077,6.101189,Drug and Alcohol Counsellor,"Provides support and treatment for people with drug and alcohol dependency problems, develops strategies which assist them to set goals and affect and maintain change, and provides community education. May work in a call centre.",government
